sentence1,label
খুব সীমিত আসন আছে এবং ঠিক সময়ে খাদ্য পাওয়ার জন্য যথেষ্ট অপেক্ষা করতে হবে।,negative
পার্সেলের চারটা চিংড়ি ভাজা নিয়েছিলাম ঘরে পৌঁছালাম কিছুক্ষন খাওয়া করলাম দেখলাম খুবই খারাপ গন্ধ আসছে খেতে পারলাম না খাবার খুবই খারাপ,negative
জামাইকান চিকেনের সময় যাব ভাল,positive
"কেউ সুপারিশের চেষ্টা করুন, আমার অত্যন্ত এই জায়গা দিতে ।",positive
আমার নীল এবং তৈলাক্ত চুপি মজা সত্যিই দেখতে সুন্দর ছিল ।,negative
সামগ্রিকভাবে আমি কিন্তু এটি 10 ​​দিতে পারি,positive
"ম্যানেজার দাবি করেন যে তিনি বিলটির ব্যাপারে আমাদের কোনও ক্ষতিপূরণ দিতে পারেন না, যা সমগ্র গোষ্ঠীর কাছ থেকে নমনীয়তার অভাব দেখায়।",negative
"আমার পরামর্শ, আপনি পাস্তা খাবারের জন্য রুম সংরক্ষণ করুন, তিরামিসু না পাওয়া হওয়া পর্যন্ত ছেড়ে দিবেন না,।",positive
সবচেয়ে ভাল জায়গা,positive
খারাপ আচরণ খারাপ স্বাদ খুবই দামী রেস্তোরা সুপারিশ না,negative
অক্ষর সত্যিই একটি উপভোগ্য অভিজ্ঞতা জন্য তৈরি।,positive
আমি জানালার মাধ্যমে একটি টেবিলের অনুরোধ করার জন্য অত্যন্ত সুপারিশ করবো,positive
আমি শুনতে চাই না।,negative
অপেশাদারী সেবা টেবিল খাদ্য পরিবেশিত তরুণ বিশ্ববিদ্যালয় বাচ্চা বন্ধুদের জন্মদিন এক উদযাপন ছিলাম সম্পর্কে মুহূর্তে একটা লাঠি খাওয়া দুঃখিত টেবিল সংরক্ষিত স্থানান্তর অন্যান্য টেবিল মৃদু ব্যক্তি বলেছিলাম সেবা ধরনের শেষ বাচ্চাদের টেবিল আসলে সংরক্ষিত শিশুদের টেবিল ব্যাকপ্যাক ডাম্প যাইহোক খাদ্য বিশেষ পিটা শহরে জায়গা তুলনায় সস্তা না পর্যালোচনা স্থানে চেষ্টা,negative
"তাদের মুখের হাসি আছে,কর্মীরা মনোযোগী ।",positive
সময় খারাপ দিক গতকাল খাদ্য দেড় ঘন্টা সত্যিই খারাপ সেবা পরিবেশিত বজায় না খাদ্য এছাড়াও সন্তোষজনক নয়,negative
গ্রিলটা ঠান্ডা রুটিও শুকনো শক্ত স্টকটা পুরাতন খুবই খারাপ মানের খাবার হতাশ,negative
"Chinatown মান দ্বারা মূল্যহীন যদিও, এটি মূল্যহীন,সঙ্কলন বাকি",positive
গুড আবহ প্রেম খাদ্য,positive
লিমিটেড খাদ্য মেনু খাদ্য স্বাদ মাঝারি মানের ছোট জায়গা,negative
যে সব শেফ বিভিন্ন ভাবে এবং উদ্ভাবনী স্পর্শে খাদ্য দেয় আমি সত্যিই তাদের ভালবাসি।,positive
খারাপ সেবা খাদ্য মানের পরিমাণ সুপারিশ না,negative
